date,region,platform,campaign_id,campaign_name,spend_usd,impressions,clicks
2026-05-01,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,23.15,1155,30
2026-05-01,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,8.28,407,14
2026-05-01,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,23.55,1210,41
2026-05-01,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,4.67,245,5
2026-05-01,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,24.72,1297,24
2026-05-02,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,7.01,250,7
2026-05-02,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,10.52,448,16
2026-05-02,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,9.55,425,9
2026-05-02,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,17.91,899,36
2026-05-02,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,6.38,286,6
2026-05-03,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,5.16,245,8
2026-05-03,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,9.84,572,17
2026-05-03,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,12.96,512,8
2026-05-03,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,28.45,1523,47
2026-05-03,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,29.68,1589,30
2026-05-04,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,7.32,340,14
2026-05-04,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,22.71,1325,55
2026-05-04,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,10.04,452,8
2026-05-04,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,23.32,1290,35
2026-05-04,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,22.82,890,38
2026-05-05,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,29.05,1797,70
2026-05-05,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,29.35,1167,43
2026-05-05,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,13.1,802,31
2026-05-05,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,25.97,1233,28
2026-05-05,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,27.51,938,38
2026-05-06,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,30.22,1377,54
2026-05-06,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,17.5,672,25
2026-05-06,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,9.79,336,6
2026-05-06,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,11.04,616,26
